RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600472976124	 	3.3.1
REQUEST	114		request_1	1600472984095	1600472985040	OK	 
USER	AdvDevStudyDataLake	114	END	1600472984094	1600472985041
USER	AdvDevStudyDataLake	135	START	1600472985044	1600472985044
REQUEST	36		request_1	1600472980035	1600472985057	OK	 
REQUEST	115		request_1	1600472984136	1600472985057	OK	 
USER	AdvDevStudyDataLake	36	END	1600472980034	1600472985058
USER	AdvDevStudyDataLake	115	END	1600472984136	1600472985058
USER	AdvDevStudyDataLake	136	START	1600472985094	1600472985094
REQUEST	28		request_1	1600472979575	1600472985116	OK	 
USER	AdvDevStudyDataLake	28	END	1600472979574	1600472985117
USER	AdvDevStudyDataLake	137	START	1600472985135	1600472985135
REQUEST	34		request_1	1600472979924	1600472985146	OK	 
REQUEST	116		request_1	1600472984184	1600472985146	OK	 
USER	AdvDevStudyDataLake	34	END	1600472979923	1600472985147
USER	AdvDevStudyDataLake	116	END	1600472984184	1600472985147
REQUEST	117		request_1	1600472984226	1600472985159	OK	 
USER	AdvDevStudyDataLake	117	END	1600472984225	1600472985159
USER	AdvDevStudyDataLake	138	START	1600472985183	1600472985183
REQUEST	27		request_1	1600472979516	1600472985189	OK	 
USER	AdvDevStudyDataLake	27	END	1600472979515	1600472985190
REQUEST	118		request_1	1600472984275	1600472985201	OK	 
USER	AdvDevStudyDataLake	118	END	1600472984274	1600472985202
REQUEST	32		request_1	1600472979816	1600472985221	OK	 
USER	AdvDevStudyDataLake	32	END	1600472979815	1600472985222
USER	AdvDevStudyDataLake	139	START	1600472985224	1600472985224
REQUEST	30		request_1	1600472979696	1600472985233	OK	 
USER	AdvDevStudyDataLake	30	END	1600472979695	1600472985234
REQUEST	120		request_1	1600472984365	1600472985255	OK	 
USER	AdvDevStudyDataLake	120	END	1600472984364	1600472985255
REQUEST	29		request_1	1600472979635	1600472985265	OK	 
USER	AdvDevStudyDataLake	29	END	1600472979634	1600472985266
USER	AdvDevStudyDataLake	140	START	1600472985273	1600472985273
REQUEST	119		request_1	1600472984324	1600472985280	OK	 
